Назва проекту,Нескоригована кількість функціональних точок,Скоригована кількість функціональних точок,Мова програмування,Тисячі рядків коду,Зусилля
RwLock,26,22,0,0.215,0.48
NBUCurrencyTracker,43,43,0,1.135,2.74
CppFuse,80,87,0,1.775,4.38
mcts_checkers,31,31,0,2.803,7.08
FlaskProject,50,49,2,3.241,8.25
FunctionalProgrammingHaskell,51,45,3,2.632,6.63
network_programming_eighth_semester,66,67,0,1.359,3.31
SystemProgrammingFourthSemester,57,55,1,4.652,12.06
PetriObjModelPaint,80,82,4,14.292,39.18
ConsoleChess,49,47,0,1.107,2.67
CPong,36,31,0,0.245,0.55
SideShowBoBGOT.github.io,36,34,5,6.395,16.84
software_security_seventh_semester,57,59,5,1.784,4.41
MultithreadedProgrammingSixthSemester,57,59,4,10.099,27.21
